2/25/2023,Updated Last,,ConCnt = ,431,DSize =,2057
POS: 1=adj 2=adv 3=conj 4=interj 5=noun 6=prep 7=pron,,,,,,
8=verb 9=names 10=affirmation 11=Symbol 12=numbers 15=Exec,,,,,,
"Global Domain idetifies Sentient, Living, Possession…",,,,,,
Gender: Male=M=77 Female=F=70 Neuter=N=78,,,Plural=P=80 Singular=S=83,,,
Global Domain Values: ,,TBD 0= blank 1= Plant 2= animal  3= Human 4= Robot  5= Object  6= Action,,,,
Data File: Enboot1.csv,,,,,,
NEN, Length, Concept, POS,Gender,Plural,Global Domain
1,1,-,11,78,83,0
2,1,!,11,78,83,0
3,1,"""",11,78,83,0
4,1,#,11,78,83,0
5,1,$,11,78,83,0
6,1,%,11,78,83,0
7,1,&,11,78,83,0
8,1,(,11,78,83,0
9,1,),11,78,83,0
10,1,*,11,78,83,0
11,1,.,11,78,83,0
12,1,/,11,78,83,0
13,1,:,11,78,83,0
14,1,;,11,78,83,0
15,1,?,11,78,83,0
16,1,@,11,78,83,0
17,1,[,11,78,83,0
18,1,\,11,78,83,0
19,1,],11,78,83,0
20,1,^,11,78,83,0
21,1,_,11,78,83,0
22,1,{,11,78,83,0
23,1,|,11,78,83,0
24,1,},11,78,83,0
25,1,~,11,78,83,0
26,1,+,11,78,83,0
27,1,<,11,78,83,0
28,1,=,11,78,83,0
29,1,>,11,78,83,0
30,1,0,12,78,83,0
31,1,1,12,78,83,0
32,1,2,12,78,83,0
33,1,3,12,78,83,0
34,1,4,12,78,83,0
35,1,5,12,78,83,0
36,1,6,12,78,83,0
37,1,7,12,78,83,0
38,1,8,12,78,83,0
39,1,9,12,78,83,0
40,1,A,1,78,83,0
41,6,ABOARD,6,78,83,0
42,5,ABOUT,6,78,83,0
43,5,ABOVE,6,78,83,0
44,6,ABSENT,6,78,83,0
45,6,ACROSS,6,78,83,0
46,9,ADORATION,5,78,83,0
47,5,AFTER,6,78,83,0
48,9,AFTERNOON,5,78,83,0
49,7,AGAINST,6,78,83,0
50,2,AI,5,78,83,4
51,3,AIR,5,78,83,0
52,8,AIRPLANE,5,78,83,0
53,5,ALIVE,1,78,83,0
